molecule_chembl_id,canonical_smiles,standard_value,class
CHEMBL410802,CC[C@H](C)[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CCC(N)=O)[C@@H](C)CC)[C@@H](C)CC)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)C(C)C,52.0,active
CHEMBL217354,CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O,1030.0,intermediate
CHEMBL376055,CN(CCCc1ccccc1)S(=O)(=O)c1cc(C(=O)N2CCc3ccc(S(=O)(=O)NCCc4ccccc4)cc3C2)c(O)c(O)c1O,39.0,active
CHEMBL269836,CC(C)c1cc(C(=O)c2ccccc2)c(O)c(O)c1O,36490.0,inactive
CHEMBL258819,O=C(c1ccc(Oc2ccccc2)cc1)c1cc(C(=O)c2nc3ccccc3s2)c(O)c(O)c1O,310.0,active
CHEMBL259034,O=C(c1ccc(Oc2ccccc2)cc1)c1cc(C(=O)c2cccc3ccccc23)c(O)c(O)c1O,1200.0,intermediate
CHEMBL259033,CC(C)C(=O)c1cc(C(=O)c2ccc(Oc3ccccc3)cc2)c(O)c(O)c1O,2670.0,intermediate
CHEMBL270268,CC(C)c1cc(C(=O)c2ccc(Oc3ccccc3)cc2)c(O)c(O)c1O,3060.0,intermediate
CHEMBL552735,Cc1cc2c(CCc3ccccc3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(CCc3ccccc3)c(O)c(O)cc2c1O,830.0,active
CHEMBL541427,Cc1cc2c(C(=O)NC3Cc4ccccc4C3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NC3Cc4ccccc4C3)c(O)c(O)cc2c1O,350.0,active
CHEMBL538616,Cc1cc2c(C(=O)NCC(C)c3ccccc3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NCC(C)c3ccccc3)c(O)c(O)cc2c1O,280.0,active
CHEMBL541496,CCc1ccc(CCNC(=O)c2c(O)c(O)cc3c(O)c(-c4c(C)cc5c(C(=O)NCCc6ccc(CC)cc6)c(O)c(O)cc5c4O)c(C)cc23)cc1,590.0,active
CHEMBL553474,Cc1cc2c(C(=O)NCCc3cccc(Cl)c3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NCCc3cccc(Cl)c3)c(O)c(O)cc2c1O,3200.0,intermediate
CHEMBL552287,Cc1cc2c(C(=O)NCCc3ccccc3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NCCc3ccccc3)c(O)c(O)cc2c1O,300.0,active
CHEMBL541004,Cc1cc2c(C(=O)NCC3CCCCC3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NCC3CCCCC3)c(O)c(O)cc2c1O,780.0,active
CHEMBL539481,Cc1cc2c(C(=O)NC(C)c3ccc(Cl)cc3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NC(C)c3ccc(Cl)cc3)c(O)c(O)cc2c1O,230.0,active
CHEMBL554545,Cc1cc(C)c(CNC(=O)c2c(O)c(O)cc3c(O)c(-c4c(C)cc5c(C(=O)NCc6c(C)cc(C)cc6C)c(O)c(O)cc5c4O)c(C)cc23)c(C)c1,1100.0,intermediate
CHEMBL551288,Cc1cc2c(C(C)C)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)cc2c1O,2600.0,intermediate
CHEMBL258224,Oc1cc(Br)cc(Br)c1Oc1ccc(Br)cc1Br,2.4,active
CHEMBL374480,COc1c(Br)c(Br)cc(Br)c1Oc1cc(Br)cc(Br)c1O,10.0,active
CHEMBL150098,Oc1c(Br)cc(Br)cc1Oc1c(O)c(Br)c(Br)c(Br)c1Br,10.0,active
CHEMBL148503,Oc1c(Br)cc(Br)cc1Oc1c(Br)cc(Br)c(Br)c1O,10.0,active
CHEMBL149159,Oc1cc(Br)c(Br)c(Br)c1Oc1cc(Br)cc(Br)c1O,10.0,active
CHEMBL572122,Oc1c(Br)cc(Br)cc1Oc1cc(Br)c(Br)c(Br)c1O,10.0,active
CHEMBL558681,Oc1c(Br)cc(Br)cc1Oc1c(O)c(Br)cc(Br)c1Br,10.0,active
CHEMBL402539,Oc1c(Br)c(Br)cc(Br)c1Oc1ccc(Br)cc1Br,10.0,active
CHEMBL464577,Oc1cc(Br)c(Br)c(Br)c1Oc1ccc(Br)cc1Br,7.3,active
CHEMBL254576,Oc1c(Br)cc(Br)cc1Oc1ccc(Br)cc1Br,8.9,active
CHEMBL1094578,CCC[C@@H](O)Cc1c(Br)c(O)c2c(=O)c3c(O)c(Br)c(O)c4c5c(O)c(Br)c(O)c6c(=O)c7c(O)c(Br)c(C[C@H](O)CCC)c8c1c2c(c34)c(c65)c78,3300.0,intermediate
CHEMBL1094366,Cc1cc2c(C(=O)NC[C@@H](C)c3ccccc3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NC[C@@H](C)c3ccccc3)c(O)c(O)cc2c1O,240.0,active
CHEMBL1094250,Cc1cc2c(C(=O)NC[C@H](C)c3ccccc3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NC[C@H](C)c3ccccc3)c(O)c(O)cc2c1O,180.0,active
CHEMBL1097104,C=C1CO[C@@]2(O)[C@H]3O[C@]34[C@H](OC(=O)C(O)(CO)CC(C)CC(C)CC)CC[C@H](C)[C@@]4(C)C[C@@H]12,11400.0,inactive
CHEMBL1097105,C=C1CO[C@@]2(OC)[C@H]3O[C@]34[C@H](OC(=O)C(O)(CO)CC(C)CC(C)CC)CC[C@H](C)[C@@]4(C)C[C@@H]12,12500.0,inactive
CHEMBL1272170,CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3C(C)C)C2=O)C(=O)c2cc(O)c(O)c(C(C)C)c2C1=O,540.0,active
CHEMBL1269070,CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3C(=O)NCC(C)c3ccccc3)C2=O)C(=O)c2cc(O)c(O)c(C(=O)NCC(C)c3ccccc3)c2C1=O,470.0,active
CHEMBL1269012,CCc1ccc(CCNC(=O)c2c(O)c(O)cc3c2C(=O)C(C)=C(C2=C(C)C(=O)c4c(cc(O)c(O)c4C(=O)NCCc4ccc(CC)cc4)C2=O)C3=O)cc1,320.0,active
CHEMBL1269072,CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3C(=O)Cc3ccccc3)C2=O)C(=O)c2cc(O)c(O)c(C(=O)Cc3ccccc3)c2C1=O,350.0,active
CHEMBL1272224,CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3CC(C)C)C2=O)C(=O)c2cc(O)c(O)c(CC(C)C)c2C1=O,470.0,active
CHEMBL1269073,CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3CC3CCCC3)C2=O)C(=O)c2cc(O)c(O)c(CC3CCCC3)c2C1=O,3080.0,intermediate
CHEMBL1269074,CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3CCC3CCCCC3)C2=O)C(=O)c2cc(O)c(O)c(CCC3CCCCC3)c2C1=O,5900.0,intermediate
CHEMBL1269075,CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3CCc3ccccc3)C2=O)C(=O)c2cc(O)c(O)c(CCc3ccccc3)c2C1=O,1290.0,intermediate
CHEMBL1269076,CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3CCc3ccc(C)cc3)C2=O)C(=O)c2cc(O)c(O)c(CCc3ccc(C)cc3)c2C1=O,2050.0,intermediate
CHEMBL1269077,CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3CCCc3ccccc3)C2=O)C(=O)c2cc(O)c(O)c(CCCc3ccccc3)c2C1=O,670.0,active
CHEMBL1269107,CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3Cc3ccccc3)C2=O)C(=O)c2cc(O)c(O)c(Cc3ccccc3)c2C1=O,240.0,active
CHEMBL1269110,CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3Cc3ccc(Cl)cc3)C2=O)C(=O)c2cc(O)c(O)c(Cc3ccc(Cl)cc3)c2C1=O,400.0,active
CHEMBL1319129,COc1ccc(NC(=O)CN(C)C(=O)c2cc3c(s2)CCC3)cc1,7310.0,intermediate
CHEMBL1419305,CC12CCC(C(=O)N(NC(=O)c3ccccc3O)C1=O)C2(C)C,108803.0,inactive
CHEMBL1435948,COc1ccc(S(=O)(=O)N2CCN(C(=O)C3COc4ccccc4O3)CC2)cc1,3515.0,intermediate
CHEMBL1299990,COC(=O)c1ccccc1NCc1cc(=O)oc2cc(O)c(O)cc12,4030.0,intermediate
CHEMBL3199337,CC(=N)/C(C#N)=C(/O)CSc1nnc(Nc2cccc(C)c2)s1,16887.0,inactive
CHEMBL1316816,Cc1ccccc1OCC(=O)OCC(=O)Nc1ncc(Cl)c(C)c1Cl,15656.0,inactive
CHEMBL1576140,C=CCn1c(SCC(=O)c2ccc(O)c(O)c2)nnc1-c1cccnc1,9373.0,intermediate
CHEMBL1359564,CC1(C)Cc2c(C#N)c(N3CCN(C(=O)c4ccco4)CC3)nc(-c3ccco3)c2CS1,108803.0,inactive
CHEMBL1981200,COc1cccc(/C=N/NC(=O)c2cc3cc([N+](=O)[O-])ccc3s2)c1O,2016.0,intermediate
CHEMBL1981243,O=c1nc2s/c(=C\c3ccco3)c(=O)n2nc1Cc1ccc(F)cc1,108803.0,inactive
CHEMBL1359782,O=C1NC(=O)N(Cc2ccco2)C(=O)/C1=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1,9601.0,intermediate
CHEMBL1592276,CCN(CC(=O)Nc1c(F)cccc1F)C(=O)/C=C/c1ccc2ccccc2n1,3455.0,intermediate
CHEMBL1459125,Cc1csc(NC(=O)c2cc(-c3ccco3)nc3ccccc23)n1,40141.0,inactive
CHEMBL2028179,O=[N+]([O-])c1cc(S(=O)(=O)c2ccc([O-])c([N+](=O)[O-])c2)ccc1[O-].[Na+].[Na+],12490.0,inactive
CHEMBL3989558,CCC(CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1.O=C(O)/C=C\C(=O)O,20377.0,inactive
CHEMBL1360150,O=C(COC(=O)/C=C/c1ccc(Br)o1)Nc1ccc2[nH]c(O)nc2c1,4408.0,intermediate
CHEMBL1606013,CCCCN(C(=O)c1cccc(-n2cccc2)c1)c1c(N)n(CCC)c(=O)[nH]c1=O,12089.0,inactive
CHEMBL1595621,C=CCn1c(S)nnc1CSc1ccccc1[N+](=O)[O-],29585.0,inactive
CHEMBL1595525,O=C(O)C(C(=O)/C=C/c1ccco1)=C1SCCS1,21884.0,inactive
CHEMBL3191557,O=C(N/N=C/c1ccncc1)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,36268.0,inactive
CHEMBL1514693,C[C@H](NS(=O)(=O)OCC(Cl)(Cl)Cl)C1CC1c1ccccc1,65399.0,inactive
CHEMBL1439414,O=C1NC(=O)N(c2cccc(Cl)c2)C(=O)/C1=C\c1ccc(Sc2nc3ccccc3[nH]2)o1,8640.0,intermediate
CHEMBL1538505,O=C(Cn1cnc2sc(-c3ccccc3)cc2c1=O)NCc1ccco1,5161.0,intermediate
CHEMBL1301692,O=C(c1cc(-c2ccco2)nn1-c1cccc(Cl)c1)N1CCCCC1,108803.0,inactive
CHEMBL1706577,O=C(N/N=C/c1cccc(F)c1)c1cc(-c2ccco2)nc2ccccc12,7186.0,intermediate
CHEMBL1538897,COc1ccc(Cl)cc1NC(=O)CCS(=O)(=O)c1ccc(Br)cc1,11425.0,inactive
CHEMBL1499658,COc1cccc(-n2c(SCc3cc(=O)oc4cc(O)c(O)cc34)nc3ccccc3c2=O)c1,108803.0,inactive
CHEMBL1518374,O=C(OCC(=O)N1CCN(C(=O)c2ccco2)CC1)c1cc(-c2ccco2)nc2ccccc12,6802.0,intermediate
CHEMBL1490685,N#Cc1c(SCC(=O)Nc2nc3ccccc3s2)sc2c(O)cc(O)nc12,33898.0,inactive
CHEMBL1342429,CCOc1ccc(N2CSC3=C(C#N)C(c4ccco4)CC(=O)N3C2)cc1,108803.0,inactive
CHEMBL1373095,O=C(Nc1cccc(S(=O)(=O)NC2=NCCC2)c1)c1cc(-c2ccco2)nc2ccccc12,4261.0,intermediate
CHEMBL1966952,Cc1ccc(/N=C/c2cc(Cc3ccccc3Cl)cc([N+](=O)[O-])c2O)c(O)c1,9130.0,intermediate
CHEMBL1440415,Cc1ccc(C(=O)O)cc1-c1ccc(/C=C2\SC(=O)N(CC(=O)Nc3ccc4c(c3)OCO4)C2=O)o1,4030.0,intermediate
CHEMBL1558195,CCOc1ccc(NC(=O)c2cccc(-n3cccc3)c2)cc1S(=O)(=O)N1CCOCC1,4030.0,intermediate
CHEMBL1968789,C=CC/N=c1\scc(-c2ccco2)n1/N=C/c1ccc(O)c(O)c1O,2939.0,intermediate
CHEMBL119171,Nc1nc(S)c2ncn(C3OC(CO)C(O)C3O)c2n1,4940.0,intermediate
CHEMBL3192179,O=C(CCc1ccc(S(=O)(=O)N2CCOCC2)cc1)N/N=C/c1ccc(O)c(O)c1O,2333.0,intermediate
CHEMBL1597177,Oc1ccc2cc3c4cc(Br)ccc4nc-3oc2c1O,447.75,active
CHEMBL1579209,Cc1cc[n+](-c2[n-]c(=O)sc2C=NNC(=O)CCn2c3ccccc3c3ccccc32)cc1,14099.0,inactive
CHEMBL1519408,Cc1ccc(/C=C(\C#N)C(=O)Nc2cccc3ncccc23)o1.Cl,108803.0,inactive
CHEMBL1413866,N#Cc1c(SCC(=O)Nc2nncs2)sc2c(O)cc(O)nc12,25286.0,inactive
CHEMBL1330042,Cc1ccc(-c2cc(C(=O)O)c3cc(Br)ccc3n2)o1,27904.0,inactive
CHEMBL1699206,O=C(N/N=C/c1ccc(-c2ccc(S(=O)(=O)Nc3ncccn3)cc2)o1)c1cc2ccccc2cc1O,4030.0,intermediate
CHEMBL1609276,O=C1COc2ccc(C(=O)COC(=O)/C=C/c3ccc(Br)o3)cc2N1,4030.0,intermediate
CHEMBL3197662,Cc1nc2ccccn2c1C(=O)N/N=C/c1ccc([N+](=O)[O-])o1,13213.0,inactive
CHEMBL3199065,Nc1nnc(CC(=O)N/N=C/c2cc([N+](=O)[O-])cc(Br)c2O)s1,23052.0,inactive
CHEMBL1981150,C=CCc1cccc(/C=N/NC(=O)CNc2cccc3ccccc23)c1O,108803.0,inactive
CHEMBL234338,O=c1cc(-c2ccc(O)cc2)oc2c(O)c(O)c(O)c(O)c12,18751.0,inactive
CHEMBL1515153,O=C(C1=C(O)C(=O)N(c2nc3ccc(Cl)cc3s2)C1c1ccco1)c1ccco1,28842.0,inactive
CHEMBL1410381,O=[N+]([O-])c1cc(CN2CCCC2)c2cccnc2c1O,2697.0,intermediate
CHEMBL1449334,CSc1nnc(-c2ccco2)c(-c2ccco2)n1,13242.0,inactive
CHEMBL3195986,CC(=N)/C(C#N)=C(/O)CSc1nnc(NC(C)C)s1,16274.0,inactive
CHEMBL1453402,CC1(NC(=O)CCc2nc(O)c3c4c(sc3n2)CCCC4)CCS(=O)(=O)C1,12089.0,inactive
CHEMBL1453409,Cc1ccc(OCC(=O)c2c(N)n(C)c(=O)n(C)c2=O)c([N+](=O)[O-])n1,8626.0,intermediate
CHEMBL1384172,c1coc(-c2nc(-c3ccco3)c(-c3ccco3)nc2-c2ccco2)c1,1343.0,intermediate
CHEMBL1344422,Cc1ccc(-c2cc(-c3ccco3)c(C#N)c(O)n2)cc1,12089.0,inactive
CHEMBL1985327,O=[N+]([O-])c1cc(Cl)cc(/C=N/NC(=S)Nc2cc(S(=O)(=O)N3CCOCC3)ccc2Cl)c1O,49325.0,inactive
CHEMBL1532198,O=C(O)CN1C(=O)/C(=C\c2cc([N+](=O)[O-])ccc2OCc2ccccc2Cl)SC1=S,108803.0,inactive
