SMILES                                                      Zinc_ID
C(#N)c1ccc(cc1)/C=C/C[NH2+]Cc1cccc(c1)CO                    ZINC89787515
C(#N)CCCOc1cccc(c1)NCc1cccc(c1)O                            ZINC37777353
c1cc(cc2c1cn[nH]2)C(=O)NCCCCCCC(=O)[O-]                     ZINC37453641
C(#N)c1ccc(cc1)/C=C/C=C/C(=O)c1cc(ccc1O)O                   ZINC89589828
C(#N)c1ccc(cc1)NC(=O)CSc1cc(ccc1C)N                         ZINC91941902
c1cc(cc(c1)O)NC(=O)/C=C/C(=O)Nc1cccc(c1)O                   ZINC00208407
c1cc(cc(c1)O)/C=N/NC(=O)N/N=C/c1cccc(c1)O                   ZINC00171951
c1cc(cc(c1)O)CCNC(=O)CCc1ccc(cc1)OC                         ZINC58295955
c1cc(ccc1CO)OCCCOc1ccc(cc1)[N+](=O)[O-]                     ZINC78380325
c1cc(ccc1C(=O)N1CC[NH+](CC1)CCCCCCO)O                       ZINC85785413
C(#N)c1ccc(cc1)NCC(=O)Nc1cc(ccc1C)C(=O)N                    ZINC69486930
c1cnc(cc1O[C@@H]1CC[N@H+](CC1)CCCCCO)C(=O)N                 ZINC93260857
C(#N)c1ccc(cc1)O[C@@H](C(=O)N(C)Cc1ccc(cc1)O)C              ZINC41676587
c1cc(cc(c1)N)CCC(=O)Nc1ccc(cc1)N(C(=O)C)C                   ZINC66153543
C(#N)c1ccc(cc1)OCCNc1cc(cc(c1C)F)C(=O)N                     ZINC95395009
c1cc(cnc1)OCCCC(=O)Nc1ccc(c(c1)C(=O)N)C                     ZINC79949646
C(#N)c1cccc(c1)O[C@@H]1CC[N@H+](CC1)Cc1ccc(CO)o1            ZINC92034342
c1cc(cc(c1)O)/C=N/NC(=O)CCc1ccc(cc1O)OC                     ZINC59148804
C(#N)c1cnn(c1)CC[N@@H+]1CCC[C@H](c2cc(C(=O)N)[nH]n2)C1      ZINC76060310
C(#N)c1ccc2c(ccc(n2)NCc2cccc(c2)C(=O)NC)c1                  ZINC92890315
C(#N)c1ccc(cc1)/C=C/C[NH2+]Cc1ccc(cc1)C(=O)NCC              ZINC89784427
C(#N)c1ccc(nc1)N1CCC(CC1)Nc1cc(ccn1)C(=O)N                  ZINC66818609
C(#N)c1ccc(cc1)CCC(=O)Nc1nc(cs1)c1ccc[nH]1                  ZINC24703054
c1cc(cc(c1)OC)C(=O)Nc1ccc(cc1)c1ccc(CO)o1                   ZINC20141404
c1cc(ccc1c1ccc(CO)o1)NC(=O)c1ccc(cc1)OC                     ZINC20141666
C(#N)CCN(c1ccc(cc1)C[NH2+]Cc1cccc(c1)C(=O)N)C               ZINC78358171
C(#N)c1ccc(cc1)[C@@H](C)NC(=O)NCc1ccc(c(c1)O)OC             ZINC79533135
C(#N)CSc1cccc(c1)C(=O)NCc1cccc(c1)C(=O)N                    ZINC79400753
C(#N)c1ccc(cc1)N1C(=O)[C@@H](CC1)Sc1nc(cc(n1)N)C            ZINC78359297
C(#N)c1ccc(c(c1)F)C[NH+]1CCN(CC1)Cc1cccc(c1)O               ZINC81011267
c1cc(cc(c1C(=O)C)C)NC(=O)NCCCc1ccc(cc1)O                    ZINC89466226
c1cc(cc(c1)N)/C(=N/NC(=O)CNc1ccc(cc1)OCC)/C                 ZINC00524625
C(#N)COc1cccc(c1)CC(=O)Nc1ccc(cc1F)C(=O)N                   ZINC89820421
c1cc(cc(c1)O)/C=N/NC(=O)C(=O)Nc1ccc(cc1)OCC                 ZINC04261146
c1cc(ccc1/C=N/NC(=O)CCCc1ccc(cc1)O)[N+](=O)[O-]             ZINC06241861
